"aaBlock","aaID","angle","axis","correct","correct_response","duration","model","orientation","response","response_time","time_Stimulus"
"main","1574675917.23","180","z","1","3","1690746","9","b","3","1008","2296039"
"main","1574675917.23","180","y","1","1","1692441","1","a","1","789","2297736"
"main","1574675917.23","270","y","1","3","1693914","16","a","3","871","2299204"
"main","1574675917.23","315","y","1","1","1695479","4","a","1","682","2300769"
"main","1574675917.23","315","y","1","3","1696856","15","a","3","729","2302150"
"main","1574675917.23","225","y","1","1","1698275","6","a","1","863","2303565"
"main","1574675917.23","270","z","1","1","1699822","5","b","1","1079","2305112"
"main","1574675917.23","45","y","1","3","1701598","6","a","3","822","2306889"
"main","1574675917.23","180","z","1","1","1703105","12","b","1","1201","2308396"
"main","1574675917.23","90","z","1","1","1705001","5","b","1","914","2310294"
"main","1574675917.23","135","z","1","1","1706602","9","a","1","37701","2311892"
"main","1574675917.23","315","y","1","1","1745013","14","b","1","92482","2350313"
"questionaire","1574675917.23","Ok","1"
"questionaire","1574675917.23","nein","Experience"
"questionaire","1574675917.23","56","Age"
"questionaire","1574675917.23","männlich","Gender"
"questionaire","1574675917.23","Gender!=weiblich","Pill"
"questionaire","1574675917.23","Gender!=weiblich","Period"
"questionaire","1574675917.23","test","Sport"
"questionaire","1574675917.23","5","Endurance"
"questionaire","1574675917.23","2","Strength"
"questionaire","1574675917.23","8","Play"
"questionaire","1574675917.23","4","Music"
"questionaire","1574675917.23","r","Hand"
"questionaire","1574675917.23","r","Hand"
"questionaire","1574675917.23","rr","Hand"
"questionaire","1574675917.23","r","Hand"
"questionaire","1574675917.23","0","Hand"
"questionaire","1574675917.23","l","Hand"
"questionaire","1574675917.23","0","Hand"
"questionaire","1574675917.23","r","Hand"
"questionaire","1574675917.23","0","Hand"
"questionaire","1574675917.23","l","Hand"
"questionaire","1574675917.23","l","HandExtra"
"questionaire","1574675917.23","0","HandExtra"
"questionaire","1574675917.23","Ok","End"
