block	model	mirror	angle	time	response	time2	diff	type
main5	Modell14B	mirroredY90	9	440917	1	441013.9	96.9	rm_hit
main5	Modell9B	originalY315	27	441550.3	1	441594.6	44.3	rm_incorrect
main5	Modell8B	originalY225	19	442133.5	2	443122.6	989.1	rm_hit
main5	Modell2A	originalZ180	16	443650	2	443723.7	73.7	rm_incorrect
main5	Modell9A	originalY0	1	444249.9	2	444752.6	502.7	rm_incorrect
main5	Modell1A	originalZ315	28	445283	2	445353.6	70.6	rm_incorrect
main5	Modell14B	originalZ270	24	445883	2	445913.8	30.8	rm_hit
main5	Modell6A	mirroredY315	29	446449.5	2	446474.2	24.7	rm_hit
main5	Modell10A	mirroredY180	17	446999.5	2	447095.6	96.1	rm_hit
main5	Modell16A	mirroredY135	13	447632.7	2	448114.3	481.6	rm_hit
main5	Modell1B	mirroredZ225	22	448649.2	2	448735.6	86.4	rm_incorrect
main5	Modell7A	mirroredY90	9	449265.8	2	449326.5	60.7	rm_hit
main5	Modell16B	mirroredY180	17	449849	2	449907.3	58.3	rm_incorrect
main5	Modell9A	mirroredY135	13	450432.3	2	450630.6	198.3	rm_hit
main5	Modell3B	originalY315	27	451165.5	2	451201	35.5	rm_hit
main5	Modell7B	originalZ90	8	451732.1	2	452250.3	518.2	rm_hit
main5	Modell1A	originalZ270	24	452781.9	2	452893	111.1	rm_incorrect
main5	Modell9A	mirroredY90	9	453431.8	1	453513.4	81.6	rm_incorrect
main5	Modell1B	originalZ45	4	454048.4	1	454155.1	106.7	rm_incorrect
main5	Modell8B	mirroredZ135	14	454681.6	1	454715.4	33.8	rm_hit
main5	Modell2B	mirroredZ315	30	455248.2	1	455367.4	119.2	rm_hit
main5	Modell13A	mirroredZ270	26	455898.1	1	455918.1	20	rm_incorrect
main5	Modell2B	originalY135	11	456448	1	456487.9	39.9	rm_incorrect
main5	Modell2A	originalY180	15	457014.6	1	457068.4	53.8	rm_hit
main5	Modell10B	originalY45	3	457597.9	1	457649.1	51.2	rm_incorrect
main5	Modell16B	mirroredY270	25	458181.1	1	458209.3	28.2	rm_hit
main5	Modell6B	mirroredZ180	18	458731	1	458789.9	58.9	rm_hit
main5	Modell1A	mirroredY315	29	459314.3	2	459380.8	66.5	rm_hit
main5	Modell1B	originalY180	15	459914.2	1	459992	77.8	rm_incorrect
main5	Modell10A	mirroredY135	13	460514.1	1	460959.6	445.5	rm_incorrect
main5	Modell13B	originalY180	15	461497.3	2	461662.5	165.2	rm_hit
main5	Modell6B	mirroredZ135	14	462197.2	1	462233	35.8	rm_hit
main5	Modell6B	mirroredY90	9	462763.8	2	462874.9	111.1	rm_incorrect
main5	Modell11A	originalY225	19	463397	1	463944.5	547.5	rm_hit
main5	Modell14A	mirroredZ45	6	464480.2	2	464504.7	24.5	rm_hit
main5	Modell10B	originalY0	1	465030.1	1	465156.6	126.5	rm_incorrect
main5	Modell8A	mirroredY270	25	465680	2	465788.1	108.1	rm_hit
main5	Modell11B	mirroredZ270	26	466313.2	1	466399.5	86.3	rm_hit
main6	Modell6A	originalZ135	12	481594.3	2	487903	6308.7	rm_incorrect
main6	Modell14B	originalY225	19	488426.6	2	488972.7	546.1	rm_hit
main6	Modell14B	mirroredY180	17	489509.7	2	489563.4	53.7	rm_incorrect
main6	Modell16B	mirroredZ180	18	490093	2	490571.8	478.8	rm_incorrect
main6	Modell7A	originalY0	1	491109.5	2	491152.4	42.9	rm_incorrect
main6	Modell11A	originalY270	23	491676.1	2	491712.6	36.5	rm_incorrect
main6	Modell6A	mirroredY180	17	492242.6	2	577889.9	85647.3	rm_hit
main7	Modell6B	originalZ135	12	581079.3	2	583103.1	2023.8	rm_hit
main7	Modell14A	originalY225	19	583628.9	2	584304.7	675.8	rm_incorrect
main7	Modell14B	mirroredY180	17	584828.7	2	585333.4	504.7	rm_incorrect
main7	Modell16B	mirroredZ180	18	585861.9	1	586484.4	622.5	rm_hit
main8	Modell6A	originalZ135	12	601609.5	2	639815.3	38205.8	rm_incorrect
main8	Modell14A	originalY225	19	640337.1	1	640691.3	354.2	rm_hit
main8	Modell14B	mirroredY180	17	641220.3	2	641526.5	306.2	rm_incorrect
main8	Modell16B	mirroredZ180	18	642053.5	1	642310.9	257.4	rm_hit
main8	Modell7B	originalY0	1	642836.7	2	643116.7	280	rm_hit
main8	Modell11B	originalY270	23	643653.2	1	643879.5	226.3	rm_incorrect
main8	Modell6A	mirroredY180	17	644403.1	2	644633.1	230	rm_hit
main8	Modell13B	mirroredY135	13	645169.7	1	645427.6	257.9	rm_hit
main8	Modell5A	originalZ135	12	645952.9	2	646232.3	279.4	rm_incorrect
main9	Modell6A	originalZ135	12	661617.2	2	665859.5	4242.3	rm_incorrect
main9	Modell14B	originalY225	19	666383.1	2	666694.7	311.6	rm_hit
main9	Modell14A	mirroredY180	17	667216.4	2	667448.3	231.9	rm_hit
main9	Modell16A	mirroredZ180	18	667982.9	2	668191.8	208.9	rm_hit
main9	Modell7B	originalY0	1	668716.1	1	668915.1	199	rm_incorrect
main9	Modell11B	originalY270	23	669449.4	1	669566.9	117.5	rm_incorrect
main9	Modell6B	mirroredY180	17	670099.3	1	670269.8	170.5	rm_hit
main9	Modell13A	mirroredY135	13	670799.1	2	671135.6	336.5	rm_hit
