"aaBlock","aaID","angle","axis","correct","correct_response","duration","model","orientation","orientationLeftBase","response","response_time","time_Stimulus"
"practice","1579092300.85","0","0","1","1","495","12","a","a","1","919","4935"
"practice","1579092300.85","270","z","1","3","2414","16","a","b","3","1617","6853"
"practice","1579092300.85","135","y","1","1","5031","9","b","b","1","942","9471"
"practice","1579092300.85","225","y","1","1","6973","10","a","a","1","648","11413"
"practice","1579092300.85","225","z","1","3","8621","4","b","a","3","1312","13062"
"practice","1579092300.85","180","y","1","3","10935","14","a","b","3","918","15375"
"practice","1579092300.85","225","y","1","1","12853","15","a","a","1","721","17293"
"practice","1579092300.85","135","z","1","3","14574","8","b","a","3","668","19017"
"practice","1579092300.85","180","y","1","1","16242","11","a","a","1","884","20682"
"practice","1579092300.85","45","z","1","3","18126","11","b","a","3","823","22566"
"practice","1579092300.85","180","y","0","3","19949","9","a","b","1","1031","24390"
"practice","1579092300.85","180","y","1","3","21980","8","a","b","3","1057","26420"
"practice","1579092300.85","315","y","1","3","24037","12","b","a","3","976","28477"
"practice","1579092300.85","270","z","1","1","26013","11","a","a","1","1031","30454"
"practice","1579092300.85","315","y","1","3","28044","11","a","b","3","728","32485"
"practice","1579092300.85","90","z","1","1","29772","1","b","b","1","803","34211"
"practice","1579092300.85","135","z","1","3","31575","5","a","b","3","1159","36014"
"practice","1579092300.85","315","z","1","3","33734","3","a","b","3","832","38174"
"practice","1579092300.85","45","y","1","3","35566","1","a","b","3","719","40006"
"practice","1579092300.85","90","z","1","3","37285","13","b","a","3","728","41726"
"practice","1579092300.85","180","y","1","1","39013","3","b","b","1","889","43452"
"practice","1579092300.85","270","z","1","3","40902","13","a","b","3","743","45342"
"practice","1579092300.85","225","y","1","3","42645","3","a","b","3","760","47085"
"practice","1579092300.85","45","z","1","1","44405","7","a","a","1","685","48849"
"practice","1579092300.85","315","y","1","3","46090","12","a","b","3","773","50529"
"practice","1579092300.85","225","y","1","1","47863","2","b","b","1","687","52303"
"practice","1579092300.85","180","z","1","1","49550","15","a","a","1","811","53995"
"practice","1579092300.85","0","0","1","3","51361","8","b","a","3","620","55801"
"practice","1579092300.85","45","y","1","1","52981","5","a","a","1","591","57422"
"practice","1579092300.85","135","y","1","3","54572","6","a","b","3","818","59011"
"practice","1579092300.85","45","z","1","3","56390","8","b","a","3","583","60831"
"practice","1579092300.85","315","y","1","3","57973","4","b","a","3","545","62412"
"practice","1579092300.85","135","z","1","3","59518","6","b","a","3","649","63957"
"main","1579092300.85","135","y","1","3","455","2","a","b","3","991","68967"
"main","1579092300.85","225","y","1","3","2004","7","b","a","3","952","70517"
"main","1579092300.85","45","y","1","3","3474","15","a","b","3","707","71987"
"main","1579092300.85","225","y","1","3","4719","6","b","a","3","685","73233"
"main","1579092300.85","180","z","1","1","5951","7","a","a","1","861","74465"
"main","1579092300.85","90","y","1","3","7359","8","a","b","3","877","75872"
"main","1579092300.85","90","z","1","1","8769","12","a","a","1","890","77283"
"main","1579092300.85","90","y","1","3","10200","4","b","a","3","700","78713"
"main","1579092300.85","270","y","1","3","11447","13","a","b","3","827","79961"
"main","1579092300.85","135","y","1","1","12814","3","b","b","1","989","81328"
"main","1579092300.85","45","z","1","3","14328","12","a","b","3","1356","82841"
"main","1579092300.85","180","y","1","3","16199","15","a","b","3","1116","84713"
"main","1579092300.85","90","y","1","3","17826","9","a","b","3","1098","86339"
"main","1579092300.85","135","y","1","1","19439","6","b","b","1","833","87956"
"main","1579092300.85","135","z","1","1","20806","12","a","a","1","962","89322"
"main","1579092300.85","0","0","1","3","22301","16","b","a","3","679","90814"
"main","1579092300.85","0","0","1","3","23522","13","a","b","3","635","92035"
"main","1579092300.85","90","y","1","1","24695","5","b","b","1","741","93208"
"main","1579092300.85","180","z","1","1","25984","11","b","b","1","1956","94498"
"main","1579092300.85","90","z","1","1","28465","14","a","a","1","755","96979"
"main","1579092300.85","45","y","1","3","29757","11","a","b","3","864","98270"
"main","1579092300.85","45","z","1","3","31185","4","a","b","3","810","99699"
"main","1579092300.85","315","y","1","3","32531","5","a","b","3","785","101045"
"main","1579092300.85","135","y","1","1","33882","1","a","a","1","594","102396"
"main","1579092300.85","180","y","1","1","35034","12","a","a","1","738","103548"
"main","1579092300.85","180","z","1","1","36322","5","a","a","1","728","104838"
"main","1579092300.85","225","y","1","3","37592","1","b","a","3","635","106105"
"main","1579092300.85","270","z","1","1","38785","14","a","a","1","1140","107298"
"main","1579092300.85","45","z","1","1","40447","9","a","a","1","870","108960"
"main","1579092300.85","225","y","1","3","41860","15","b","a","3","600","110373"
"main","1579092300.85","45","z","1","1","43009","5","a","a","1","659","111523"
"main","1579092300.85","225","y","1","1","44226","5","b","b","1","747","112739"
"main","1579092300.85","45","z","1","1","45512","1","a","a","1","596","114026"
"main","1579092300.85","225","y","1","3","46651","1","a","b","3","880","115165"
"main","1579092300.85","90","y","1","1","48062","11","a","a","1","814","116576"
"main","1579092300.85","45","z","1","3","49405","9","b","a","3","679","117919"
"main","1579092300.85","180","z","1","3","50629","6","a","b","3","1118","119143"
"main","1579092300.85","270","z","1","3","52267","3","b","a","3","713","120780"
"main","1579092300.85","225","z","1","1","53517","7","b","b","1","918","122030"
"main","1579092300.85","315","z","1","3","54964","3","b","a","3","664","123477"
"main","1579092300.85","270","y","1","1","56172","8","a","a","1","623","124685"
"main","1579092300.85","135","y","1","1","57344","9","a","a","1","963","125858"
"main","1579092300.85","315","z","1","3","58831","15","a","b","3","1029","127344"
"questionaire","1579092300.85","Ok","Intro"
"questionaire","1579092300.85","nein","Experience"
"questionaire","1579092300.85","22","Age"
"questionaire","1579092300.85","weiblich","Gender"
"questionaire","1579092300.85","nein","5"
"questionaire","1579092300.85","56","6"
"questionaire","1579092300.85","kungfu","Sport"
"questionaire","1579092300.85","6","Endurance"
"questionaire","1579092300.85","3","Strength"
"questionaire","1579092300.85","2","Play"
"questionaire","1579092300.85","4","Music"
"questionaire","1579092300.85","r","Hand"
"questionaire","1579092300.85","rr","Hand"
"questionaire","1579092300.85","r","Hand"
"questionaire","1579092300.85","0","Hand"
"questionaire","1579092300.85","l","Hand"
"questionaire","1579092300.85","0","Hand"
"questionaire","1579092300.85","r","Hand"
"questionaire","1579092300.85","0","Hand"
"questionaire","1579092300.85","l","Hand"
"questionaire","1579092300.85","ll","Hand"
"questionaire","1579092300.85","l","HandExtra"
"questionaire","1579092300.85","ll","HandExtra"
"questionaire","1579092300.85","End","End"
