"aaBlock","aaID","angle","axis","correct","correct_response","duration","model","orientation","orientationLeftBase","response","response_time","time_Stimulus"
"questionaire","1579195156.24","dsaäüöüp3ß4","Age"
"questionaire","1579195156.24","weiblich","Gender"
"questionaire","1579195156.24","nein","Pill"
"questionaire","1579195156.24","dsa","Period"
"questionaire","1579195156.24","d","Sport"
"questionaire","1579195156.24","keine Angabe","Endurance"
"questionaire","1579195156.24","keine Angabe","Strength"
"questionaire","1579195156.24","keine Angabe","Play"
"questionaire","1579195156.24","keine Angabe","Music"
"questionaire","1579195156.24","rr","Hand"
"questionaire","1579195156.24","rr","Hand"
"questionaire","1579195156.24","rr","Hand"
"questionaire","1579195156.24","rr","Hand"
"questionaire","1579195156.24","rr","Hand"
"questionaire","1579195156.24","rr","Hand"
"questionaire","1579195156.24","rr","Hand"
"questionaire","1579195156.24","rr","Hand"
"questionaire","1579195156.24","rr","Hand"
"questionaire","1579195156.24","rr","Hand"
"questionaire","1579195156.24","rr","HandExtra"
"questionaire","1579195156.24","rr","HandExtra"
"questionaire","1579195156.24","End","End"
