"aaBlock","aaID","angle","axis","correct","correct_response","duration","model","orientation","orientationLeftBase","response","response_time","time_Stimulus"
"practice","1579080844.86","135","y","1","3","157","1","a","b","3","1330","4349"
"practice","1579080844.86","315","z","1","3","2503","16","b","a","3","787","6492"
"practice","1579080844.86","270","y","1","3","4295","10","b","a","3","629","8292"
"practice","1579080844.86","90","y","1","1","5923","11","a","a","1","750","9865"
"practice","1579080844.86","45","z","1","1","7674","9","b","b","1","797","11612"
"practice","1579080844.86","45","z","1","1","9471","4","a","a","1","764","13412"
"practice","1579080844.86","225","z","1","3","11236","14","a","b","3","767","15177"
"practice","1579080844.86","180","y","1","3","13003","6","a","b","3","1031","16945"
"practice","1579080844.86","315","z","1","3","15031","2","b","a","3","688","18969"
"practice","1579080844.86","270","y","1","1","16737","11","b","b","1","751","20674"
"practice","1579080844.86","225","y","1","3","18488","15","a","b","3","900","22429"
"practice","1579080844.86","0","0","1","1","20393","10","a","a","1","596","24339"
"practice","1579080844.86","90","y","1","3","21987","14","b","a","3","698","25926"
"practice","1579080844.86","45","y","1","3","23687","9","b","a","3","813","27636"
"practice","1579080844.86","135","y","1","1","25500","12","a","a","1","767","29442"
"practice","1579080844.86","45","y","1","1","27287","2","a","a","1","583","31241"
"practice","1579080844.86","180","z","1","1","28888","15","b","b","1","1172","32836"
"practice","1579080844.86","45","y","1","3","31058","14","b","a","3","587","35013"
"practice","1579080844.86","135","z","1","3","32642","15","a","b","3","1666","36583"
"practice","1579080844.86","180","z","1","1","35308","16","a","a","1","707","39246"
"practice","1579080844.86","45","y","1","1","37013","8","a","a","1","561","40951"
"practice","1579080844.86","90","z","1","3","38572","7","a","b","3","828","42517"
"practice","1579080844.86","45","y","1","1","40398","8","b","b","1","629","44339"
"practice","1579080844.86","180","y","1","3","42032","10","a","b","3","1294","45971"
"practice","1579080844.86","315","y","1","1","44325","12","a","a","1","633","48264"
"practice","1579080844.86","270","y","1","3","45964","12","b","a","3","691","49901"
"practice","1579080844.86","270","z","1","3","47653","4","b","a","3","674","51591"
"practice","1579080844.86","90","z","1","1","49325","4","a","a","1","696","53265"
"practice","1579080844.86","45","y","1","1","51019","16","a","a","1","634","54967"
"practice","1579080844.86","315","y","1","1","52652","2","b","b","1","695","56593"
"practice","1579080844.86","45","z","1","1","54349","9","a","a","1","628","58285"
"practice","1579080844.86","90","y","1","1","56008","2","b","b","1","1068","59964"
"practice","1579080844.86","180","y","1","1","58091","1","a","a","1","676","62060"
"practice","1579080844.86","45","z","1","3","59779","7","b","a","3","645","63723"
"main","1579080844.86","90","z","1","3","145","10","a","b","3","1072","67639"
"main","1579080844.86","0","0","1","1","1746","2","b","b","1","606","69314"
"main","1579080844.86","270","y","1","3","2919","11","a","b","3","1064","70409"
"main","1579080844.86","225","z","1","1","4499","12","b","b","1","1065","71992"
"main","1579080844.86","135","z","1","3","6089","12","b","a","3","1459","73589"
"main","1579080844.86","315","y","1","3","8079","8","a","b","3","765","75564"
"main","1579080844.86","315","y","1","1","9370","11","a","a","1","676","76861"
"main","1579080844.86","135","y","1","3","10568","14","b","a","3","820","78060"
"main","1579080844.86","0","0","1","1","11907","8","a","a","1","620","79397"
"main","1579080844.86","45","z","1","1","13058","15","b","b","1","653","80546"
"main","1579080844.86","270","z","1","3","14239","6","b","a","3","1219","81742"
"main","1579080844.86","45","z","1","3","15965","5","b","a","3","608","83456"
"main","1579080844.86","315","z","1","1","17103","9","a","a","1","604","84589"
"main","1579080844.86","135","z","1","3","18228","5","a","b","3","878","85723"
"main","1579080844.86","0","0","1","1","19643","4","b","b","1","593","87135"
"main","1579080844.86","270","z","1","3","20760","4","a","b","3","711","88249"
"main","1579080844.86","180","z","1","1","22006","9","b","b","1","1175","89497"
"main","1579080844.86","135","z","1","1","23696","10","b","b","1","1148","91181"
"main","1579080844.86","270","z","1","3","25373","5","b","a","3","715","92860"
"main","1579080844.86","270","z","1","3","26610","8","a","b","3","714","94102"
"main","1579080844.86","180","y","1","3","27831","15","a","b","3","1125","95323"
"main","1579080844.86","90","z","1","3","29486","6","a","b","3","811","96973"
"main","1579080844.86","90","y","1","1","30829","15","b","b","1","1079","98321"
"main","1579080844.86","135","y","1","3","32444","4","a","b","3","800","99936"
"main","1579080844.86","225","z","1","3","33766","16","a","b","3","1093","101259"
"main","1579080844.86","0","0","1","1","35376","9","b","b","1","659","102861"
"main","1579080844.86","270","z","1","3","36566","14","b","a","3","653","104058"
"main","1579080844.86","45","y","1","3","37766","5","a","b","3","716","105268"
"main","1579080844.86","135","z","1","3","38995","6","a","b","3","808","106488"
"main","1579080844.86","270","y","1","3","40339","4","a","b","3","760","107831"
"main","1579080844.86","135","y","1","1","41615","3","b","b","1","849","109104"
"main","1579080844.86","180","z","1","3","42987","6","a","b","3","1283","110478"
"main","1579080844.86","315","z","1","3","44792","6","b","a","3","656","112287"
"main","1579080844.86","180","z","1","3","45971","8","a","b","3","936","113465"
"main","1579080844.86","0","0","1","1","47438","13","a","a","1","623","114928"
"main","1579080844.86","45","z","1","1","48589","7","a","a","1","673","116112"
"main","1579080844.86","225","y","1","3","49790","6","b","a","3","808","117281"
"main","1579080844.86","90","z","1","1","51119","5","a","a","1","749","118611"
"main","1579080844.86","225","y","1","3","52377","4","b","a","3","676","119876"
"main","1579080844.86","180","y","1","3","53573","16","b","a","3","834","121062"
"main","1579080844.86","135","z","1","1","54953","16","b","b","1","906","122447"
"main","1579080844.86","225","z","1","1","56385","7","a","a","1","917","123876"
"main","1579080844.86","90","y","1","1","57827","13","a","a","1","620","125317"
"main","1579080844.86","45","y","1","3","58969","7","a","b","3","777","126464"
"questionaire","1579080844.86","Ok","Intro"
"questionaire","1579080844.86","ja","Experience"
"questionaire","1579080844.86","44","Age"
"questionaire","1579080844.86","weiblich","Gender"
"questionaire","1579080844.86","ja","5"
"questionaire","1579080844.86","2","6"
"questionaire","1579080844.86","sport","Sport"
"questionaire","1579080844.86","5","Endurance"
"questionaire","1579080844.86","2","Strength"
"questionaire","1579080844.86","-4","Play"
"questionaire","1579080844.86","1","Music"
"questionaire","1579080844.86","r","Hand"
"questionaire","1579080844.86","rr","Hand"
"questionaire","1579080844.86","0","Hand"
"questionaire","1579080844.86","r","Hand"
"questionaire","1579080844.86","rr","Hand"
"questionaire","1579080844.86","r","Hand"
"questionaire","1579080844.86","0","Hand"
"questionaire","1579080844.86","r","Hand"
"questionaire","1579080844.86","rr","Hand"
"questionaire","1579080844.86","r","Hand"
"questionaire","1579080844.86","0","HandExtra"
"questionaire","1579080844.86","r","HandExtra"
"questionaire","1579080844.86","End","End"
