"";"deg";"cond";"reactionTimeSd";"reactionTime";"accSd";"acc"
"1";"  0";"Modell10A";" 621.8";"1740";"0.00000";"1.0000"
"2";"  0";"Modell10B";" 731.0";"1879";"0.12685";"0.9667"
"3";"  0";"Modell11A";"    NA";" NaN";"0.23057";"0.9167"
"4";"  0";"Modell11B";"    NA";" NaN";"     NA";"   NaN"
"5";"  0";"Modell12A";"    NA";" NaN";"0.17961";"0.9677"
"6";"  0";"Modell12B";"    NA";" NaN";"     NA";"   NaN"
"7";"  0";"Modell13A";"    NA";" NaN";"0.25788";"0.9310"
"8";"  0";"Modell13B";" 504.2";"1568";"0.12685";"0.9667"
"9";"  0";"Modell14A";"    NA";" NaN";"0.27863";"0.9074"
"10";"  0";"Modell14B";"    NA";" NaN";"     NA";"   NaN"
"11";"  0";"Modell15A";"    NA";" NaN";"0.20000";"0.9600"
"12";"  0";"Modell15B";"    NA";" NaN";"     NA";"   NaN"
"13";"  0";"Modell16A";"    NA";" NaN";"     NA";"   NaN"
"14";"  0";"Modell16B";"    NA";" NaN";"0.36045";"0.8276"
"15";"  0";"Modell1A";"    NA";" NaN";"     NA";"   NaN"
"16";"  0";"Modell1B";" 549.8";"1681";"0.11785";"0.9667"
"17";"  0";"Modell2A";"    NA";" NaN";"0.20463";"0.9483"
"18";"  0";"Modell2B";"    NA";" NaN";"     NA";"   NaN"
"19";"  0";"Modell3A";" 458.9";"1598";"0.10206";"0.9792"
"20";"  0";"Modell3B";"    NA";" NaN";"0.24264";"0.9111"
"21";"  0";"Modell4A";"    NA";" NaN";"0.17678";"0.9688"
"22";"  0";"Modell4B";" 412.7";"1460";"0.14548";"0.9683"
"23";"  0";"Modell5A";"1461.7";"2394";"0.15390";"0.9500"
"24";"  0";"Modell5B";"    NA";" NaN";"     NA";"   NaN"
"25";"  0";"Modell6A";" 584.0";"1654";"0.00000";"1.0000"
"26";"  0";"Modell6B";"    NA";" NaN";"0.18898";"0.9643"
"27";"  0";"Modell7A";"    NA";" NaN";"0.29352";"0.8846"
"28";"  0";"Modell7B";"    NA";" NaN";"0.25000";"0.9000"
"29";"  0";"Modell8A";"    NA";" NaN";"     NA";"   NaN"
"30";"  0";"Modell8B";"    NA";" NaN";"0.21183";"0.9444"
"31";"  0";"Modell9A";"    NA";" NaN";"     NA";"   NaN"
"32";"  0";"Modell9B";"    NA";" NaN";"     NA";"   NaN"
"33";" 45";"Modell10A";"    NA";" NaN";"     NA";"   NaN"
"34";" 45";"Modell10B";"1742.4";"3152";"0.17378";"0.9012"
"35";" 45";"Modell11A";"1052.0";"3099";"0.17569";"0.9070"
"36";" 45";"Modell11B";"    NA";" NaN";"0.30256";"0.7929"
"37";" 45";"Modell12A";"1058.5";"2850";"0.13500";"0.9275"
"38";" 45";"Modell12B";"1955.1";"3247";"0.19616";"0.8623"
"39";" 45";"Modell13A";"    NA";" NaN";"     NA";"   NaN"
"40";" 45";"Modell13B";" 919.0";"2196";"0.07826";"0.9750"
"41";" 45";"Modell14A";"    NA";" NaN";"     NA";"   NaN"
"42";" 45";"Modell14B";"    NA";" NaN";"     NA";"   NaN"
"43";" 45";"Modell15A";"    NA";" NaN";"0.22884";"0.8949"
"44";" 45";"Modell15B";"1316.7";"2826";"0.13033";"0.9499"
"45";" 45";"Modell16A";"1045.3";"2812";"0.19216";"0.8983"
"46";" 45";"Modell16B";"    NA";" NaN";"     NA";"   NaN"
"47";" 45";"Modell1A";"    NA";" NaN";"     NA";"   NaN"
"48";" 45";"Modell1B";"1815.9";"3316";"0.06669";"0.9812"
"49";" 45";"Modell2A";"1519.3";"3024";"0.11450";"0.9594"
"50";" 45";"Modell2B";"1460.0";"2780";"0.14543";"0.9291"
"51";" 45";"Modell3A";"    NA";" NaN";"     NA";"   NaN"
"52";" 45";"Modell3B";"1766.3";"2930";"0.07812";"0.9721"
"53";" 45";"Modell4A";" 916.9";"2301";"0.12874";"0.9405"
"54";" 45";"Modell4B";"    NA";" NaN";"0.17702";"0.9429"
"55";" 45";"Modell5A";"    NA";" NaN";"     NA";"   NaN"
"56";" 45";"Modell5B";"    NA";" NaN";"0.21699";"0.8915"
"57";" 45";"Modell6A";"    NA";" NaN";"     NA";"   NaN"
"58";" 45";"Modell6B";"1252.9";"2977";"0.15231";"0.9310"
"59";" 45";"Modell7A";"1095.4";"2814";"0.20491";"0.8955"
"60";" 45";"Modell7B";"    NA";" NaN";"0.20511";"0.9217"
"61";" 45";"Modell8A";"    NA";" NaN";"0.17741";"0.9326"
"62";" 45";"Modell8B";"1178.0";"3003";"0.14748";"0.9317"
"63";" 45";"Modell9A";"    NA";" NaN";"0.19767";"0.9263"
"64";" 45";"Modell9B";"    NA";" NaN";"     NA";"   NaN"
"65";" 90";"Modell10A";"    NA";" NaN";"0.23942";"0.8564"
"66";" 90";"Modell10B";"    NA";" NaN";"     NA";"   NaN"
"67";" 90";"Modell11A";"    NA";" NaN";"0.28913";"0.7942"
"68";" 90";"Modell11B";"    NA";" NaN";"0.26827";"0.7910"
