"";"deg";"cond";"reactionTimeSd";"reactionTime";"accSd";"acc"
"69";" 90";"Modell12A";"    NA";" NaN";"0.26103";"0.7679"
"70";" 90";"Modell12B";"    NA";" NaN";"0.24843";"0.7520"
"71";" 90";"Modell13A";"    NA";" NaN";"0.20386";"0.9004"
"72";" 90";"Modell13B";"    NA";" NaN";"0.21555";"0.9050"
"73";" 90";"Modell14A";"1185.5";"3348";"0.17258";"0.9124"
"74";" 90";"Modell14B";"    NA";" NaN";"     NA";"   NaN"
"75";" 90";"Modell15A";"    NA";" NaN";"0.25886";"0.8727"
"76";" 90";"Modell15B";"1458.7";"3579";"0.18570";"0.8989"
"77";" 90";"Modell16A";"    NA";" NaN";"0.25956";"0.8417"
"78";" 90";"Modell16B";"    NA";" NaN";"0.20671";"0.9083"
"79";" 90";"Modell1A";"    NA";" NaN";"     NA";"   NaN"
"80";" 90";"Modell1B";"    NA";" NaN";"     NA";"   NaN"
"81";" 90";"Modell2A";"    NA";" NaN";"0.23567";"0.8662"
"82";" 90";"Modell2B";"    NA";" NaN";"0.24829";"0.8979"
"83";" 90";"Modell3A";"    NA";" NaN";"0.27074";"0.8641"
"84";" 90";"Modell3B";"    NA";" NaN";"0.27908";"0.8637"
"85";" 90";"Modell4A";"    NA";" NaN";"0.23913";"0.8715"
"86";" 90";"Modell4B";"    NA";" NaN";"     NA";"   NaN"
"87";" 90";"Modell5A";"1825.1";"3799";"0.19694";"0.8771"
"88";" 90";"Modell5B";"1443.6";"3548";"0.18055";"0.9207"
"89";" 90";"Modell6A";"    NA";" NaN";"0.25937";"0.8691"
"90";" 90";"Modell6B";"    NA";" NaN";"     NA";"   NaN"
"91";" 90";"Modell7A";"1591.2";"3640";"0.15048";"0.9137"
"92";" 90";"Modell7B";"    NA";" NaN";"     NA";"   NaN"
"93";" 90";"Modell8A";"    NA";" NaN";"0.17954";"0.9287"
"94";" 90";"Modell8B";"1563.3";"3897";"0.13997";"0.9323"
"95";" 90";"Modell9A";"1278.2";"3344";"0.17830";"0.8676"
"96";" 90";"Modell9B";"1690.2";"3656";"0.19825";"0.9065"
"97";"135";"Modell10A";"    NA";" NaN";"     NA";"   NaN"
"98";"135";"Modell10B";"    NA";" NaN";"0.25561";"0.8060"
"99";"135";"Modell11A";"    NA";" NaN";"     NA";"   NaN"
"100";"135";"Modell11B";"    NA";" NaN";"     NA";"   NaN"
"101";"135";"Modell12A";"    NA";" NaN";"     NA";"   NaN"
"102";"135";"Modell12B";"    NA";" NaN";"     NA";"   NaN"
"103";"135";"Modell13A";"1837.1";"3561";"0.13359";"0.9030"
"104";"135";"Modell13B";"1774.8";"3574";"0.13982";"0.9331"
"105";"135";"Modell14A";"1826.6";"3870";"0.19393";"0.9014"
"106";"135";"Modell14B";"1848.9";"3666";"0.12908";"0.9309"
"107";"135";"Modell15A";"2282.4";"4175";"0.21686";"0.8752"
"108";"135";"Modell15B";"    NA";" NaN";"0.26694";"0.8456"
"109";"135";"Modell16A";"2000.5";"4645";"0.17265";"0.9004"
"110";"135";"Modell16B";"2300.3";"4797";"0.19470";"0.8280"
"111";"135";"Modell1A";"    NA";" NaN";"0.22473";"0.8641"
"112";"135";"Modell1B";"    NA";" NaN";"     NA";"   NaN"
"113";"135";"Modell2A";"    NA";" NaN";"     NA";"   NaN"
"114";"135";"Modell2B";"    NA";" NaN";"0.21196";"0.8657"
"115";"135";"Modell3A";"    NA";" NaN";"0.23838";"0.8702"
"116";"135";"Modell3B";"    NA";" NaN";"0.21084";"0.8771"
"117";"135";"Modell4A";"    NA";" NaN";"0.19752";"0.9051"
"118";"135";"Modell4B";"1741.3";"3641";"0.17097";"0.9010"
"119";"135";"Modell5A";"    NA";" NaN";"0.23421";"0.8470"
"120";"135";"Modell5B";"    NA";" NaN";"0.24074";"0.8444"
"121";"135";"Modell6A";"    NA";" NaN";"     NA";"   NaN"
"122";"135";"Modell6B";"1996.0";"4375";"0.19983";"0.8625"
"123";"135";"Modell7A";"    NA";" NaN";"0.26119";"0.8713"
"124";"135";"Modell7B";"    NA";" NaN";"0.23044";"0.8805"
"125";"135";"Modell8A";"    NA";" NaN";"     NA";"   NaN"
"126";"135";"Modell8B";"2324.6";"4385";"0.13923";"0.9211"
"127";"135";"Modell9A";"    NA";" NaN";"0.28348";"0.8117"
"128";"135";"Modell9B";"    NA";" NaN";"0.28303";"0.8127"
"129";"180";"Modell10A";"    NA";" NaN";"     NA";"   NaN"
"130";"180";"Modell10B";"    NA";" NaN";"     NA";"   NaN"
"131";"180";"Modell11A";"    NA";" NaN";"     NA";"   NaN"
"132";"180";"Modell11B";"    NA";" NaN";"0.38571";"0.7072"
"133";"180";"Modell12A";"    NA";" NaN";"     NA";"   NaN"
"134";"180";"Modell12B";"    NA";" NaN";"     NA";"   NaN"
"135";"180";"Modell13A";"    NA";" NaN";"0.36878";"0.8187"
"136";"180";"Modell13B";"    NA";" NaN";"     NA";"   NaN"
"137";"180";"Modell14A";"    NA";" NaN";"0.25022";"0.9079"
"138";"180";"Modell14B";"    NA";" NaN";"0.29112";"0.8483"
"139";"180";"Modell15A";"    NA";" NaN";"0.34778";"0.8468"
"140";"180";"Modell15B";"    NA";" NaN";"     NA";"   NaN"
"141";"180";"Modell16A";"    NA";" NaN";"0.32550";"0.8333"
"142";"180";"Modell16B";"    NA";" NaN";"0.26314";"0.8727"
"143";"180";"Modell1A";"    NA";" NaN";"0.23311";"0.8797"
"144";"180";"Modell1B";"    NA";" NaN";"     NA";"   NaN"
"145";"180";"Modell2A";"    NA";" NaN";"     NA";"   NaN"
"146";"180";"Modell2B";"    NA";" NaN";"0.36713";"0.7917"
"147";"180";"Modell3A";"    NA";" NaN";"     NA";"   NaN"
"148";"180";"Modell3B";"1750.5";"4026";"0.19042";"0.9097"
"149";"180";"Modell4A";"    NA";" NaN";"0.26907";"0.8848"
"150";"180";"Modell4B";"    NA";" NaN";"     NA";"   NaN"
"151";"180";"Modell5A";"    NA";" NaN";"     NA";"   NaN"
"152";"180";"Modell5B";"    NA";" NaN";"0.28705";"0.8505"
"153";"180";"Modell6A";"    NA";" NaN";"0.34003";"0.7770"
"154";"180";"Modell6B";"    NA";" NaN";"0.31006";"0.8222"
"155";"180";"Modell7A";"    NA";" NaN";"     NA";"   NaN"
"156";"180";"Modell7B";"    NA";" NaN";"0.37337";"0.7464"
"157";"180";"Modell8A";"    NA";" NaN";"     NA";"   NaN"
"158";"180";"Modell8B";"    NA";" NaN";"0.29409";"0.8106"
"159";"180";"Modell9A";"    NA";" NaN";"     NA";"   NaN"
"160";"180";"Modell9B";"    NA";" NaN";"0.40643";"0.6779"
