aaBlock,angle,axis,correct,correct_response,duration,model,orientation,response,response_time,time_Stimulus
main,45,y,1,3,1785282,10,b,3,1291,2399365
main,135,y,1,1,1787274,4,b,1,1162,2401357
main,225,y,1,1,1789142,16,a,1,1855,2403232
main,315,z,1,1,1791698,11,a,1,2729,2405782
main,180,z,1,3,1795129,7,a,3,2808,2409215
main,225,y,1,1,1798638,5,a,1,2334,2412722
questionaire,Ok,1,,,,,,,,
questionaire,nein,Experience,,,,,,,,
questionaire,77,Alter,,,,,,,,
questionaire,männlich,Gender,,,,,,,,
questionaire,Gender!=weiblich,Pille,,,,,,,,
questionaire,Gender!=weiblich,Zyklustag,,,,,,,,
questionaire,test,Sportart,,,,,,,,
questionaire,1,Ausdauer,,,,,,,,
questionaire,3,Kraft,,,,,,,,
questionaire,4,Spiel,,,,,,,,
questionaire,6,Musik,,,,,,,,
questionaire,r,Hand,,,,,,,,
questionaire,r,Hand,,,,,,,,
questionaire,rr,Hand,,,,,,,,
questionaire,r,Hand,,,,,,,,
questionaire,rr,Hand,,,,,,,,
questionaire,r,Hand,,,,,,,,
questionaire,l,Hand,,,,,,,,
questionaire,ll,Hand,,,,,,,,
questionaire,ll,Hand,,,,,,,,
questionaire,ll,Hand,,,,,,,,
questionaire,ll,HandExtra,,,,,,,,
questionaire,0,HandExtra,,,,,,,,
questionaire,Ok,End,,,,,,,,
