"";"deg";"cond";"reactionTimeSd";"reactionTime";"accSd";"acc"
"1";"  0";"0";" 571.1";"1930";"0.06088";"0.9482"
"2";" 45";"-";" 965.5";"2818";"0.09570";"0.9292"
"3";" 45";"+";" 919.5";"2912";"0.09228";"0.9123"
"4";" 90";"-";"1061.9";"3679";"0.11992";"0.8674"
"5";" 90";"+";"1129.1";"3750";"0.11128";"0.8709"
"6";"135";"-";"1562.2";"4438";"0.11256";"0.8468"
"7";"135";"+";"1432.8";"4145";"0.11989";"0.8609"
"8";"180";"0";"1469.6";"4756";"0.12187";"0.8345"
