"";"MRexperience";"Age";"Gender";"Pill";"Period";"Sport";"Endurance";"Strength";"Play";"Music";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"ID";"hand";"sportAkt";"handFactor"
"1";"ja:6,nein:3";"22.56(1.81)";"m:9";"not female:9";"NaN(NA)";"fuﬂball:4,basketball:1,handball:1,krafttraining:1,tennis:1,volleyball:1";"2.056(1.184)";"2.722(2.224)";"4.611(2.369)";"0.2222(0.441)";"rr:6,r:2,ll:1";"rr:6,r:2,ll:1";"r:5,rr:2,l:1,ll:1";"r:5,rr:3,ll:1";"r:5,rr:2,0:1,l:1";"r:4,rr:3,ll:2";"rr:5,r:3,ll:1";"r:5,rr:3,ll:1";"rr:4,ll:2,r:2,0:1";"ll:4,l:2,r:2,rr:1";"r:6,rr:2,ll:1";"r:4,ll:2,0:1,l:1,rr:1";"m";"5.667(6.325)";"9.389(3.638)";"10:3,6:2,8:2,-10:1,3:1"
"2";"ja:18,nein:14";"20.97(1.656)";"w:32";"ja:16,nein:16";"13.81(8.228)";"fitness:3,tanzen:3,fuﬂball:2,joggen:2,volleyball:2,ballett:1,bodyweight:1,fitnessstudio,surfen,yoga:1,ger‰teturnen:1,judo:1,kampfsport:1,klettern, fuﬂball:1,klettern, laufen:1,kraftsport:1,schiedsrichter:1,schwimmen:1,schwimmen, krafttraining:1,tanz:1,tanzen, fitness:1,tennis:1,triathlon:1,turnen, krafttraining:1,volleyball, joggen,radfahren:1,vor einigen jahren noch regelm‰ﬂig sportakrobatik, zurzeit eher kraftsport und anderes, worauf ich lust habe. zum beispiel ganzkˆrpertraining. hit training, beachvolleybal, bouldern, frisbee.:1,yoga, fitness, volleyball:1";"3.113(1.9)";"3.452(3.184)";"3.55(3.497)";"1.078(1.943)";"rr:25,r:4, :2,ll:1";"rr:26,r:5,ll:1";"rr:17,r:14,l:1";"rr:27,r:4,ll:1";"rr:17,r:10,0:3,l:1,lr:1";"rr:21,r:10,l:1";"rr:17,r:12,0:2,l:1";"r:15,rr:8,0:4,l:3,1:1,ll:1";"rr:19,r:8,ll:2,0:1,l:1,lr:1";"rr:12,r:8,l:6,ll:4,0:2";"r:13,rr:13,0:5,ll:1";"l:11,r:9,rr:7,ll:3,0:2";"w";"8.062(3.35)";"9.833(5.462)";"10:13,8:8,9:4,7:3,6:2,-8:1,3:1"
