"";"deg";"cond";"reactionTimeSd";"reactionTime";"accSd";"acc"
"1";"  0";"0";" 571.1";"1930";"0.06088";"0.9482"
"2";" 45";"45";" 923.6";"2862";"0.08958";"0.9208"
"3";" 90";"90";"1076.3";"3714";"0.11232";"0.8693"
"4";"135";"135";"1476.7";"4293";"0.10857";"0.8538"
"5";"180";"180";"1469.6";"4756";"0.12187";"0.8345"
