block	model	mirror	angle	time	response	time2	diff	type
main	Modell11A	mirroredY45	5	1101121.3	2	1103786.2	2664.9	rm_hit
main	Modell16B	originalZ270	24	1104320.8	2	1111715.1	7394.3	rm_hit
main	Modell13B	originalZ180	16	1112236.3	2	1116504.9	4268.6	rm_hit
main	Modell7B	mirroredZ45	6	1117035.6	1	1120571	3535.4	rm_hit
main	Modell15B	mirroredY180	17	1121101.7	1	1124515.1	3413.4	rm_hit
main	Modell14A	mirroredZ315	30	1125051.1	2	1126828.4	1777.3	rm_hit
main	Modell3B	mirroredZ270	26	1127350.8	1	1130945.6	3594.8	rm_hit
main	Modell8B	mirroredY90	9	1131466.8	1	1135155	3688.2	rm_hit
main	Modell1B	mirroredZ315	30	1135682.9	1	1138385.8	2702.9	rm_hit
main	Modell5A	originalZ225	20	1138915.7	1	1142299.4	3383.7	rm_hit
main	Modell16B	originalY270	23	1142831.8	2	1146804.3	3972.5	rm_hit
main	Modell12A	mirroredZ225	22	1147331.2	2	1153092.4	5761.2	rm_hit
main	Modell2A	originalY0	1	1153613.6	1	1155762.6	2149	rm_hit
main	Modell14B	originalY135	11	1156296.5	2	1159584.3	3287.8	rm_hit
main	Modell5A	originalZ270	24	1160112.6	1	1163752.2	3639.6	rm_hit
main	Modell12A	mirroredY45	5	1164278.7	2	1166676.8	2398.1	rm_hit
main	Modell16A	mirroredZ270	26	1167211.6	2	1169835.7	2624.1	rm_hit
main	Modell16B	originalZ90	8	1170361.1	2	1173738.2	3377.1	rm_hit
main	Modell6A	mirroredY45	5	1174260.5	2	1176714.3	2453.8	rm_hit
main	Modell7B	mirroredY90	9	1177243.4	1	1181829.1	4585.7	rm_hit
main	Modell3A	mirroredY270	25	1182359.3	2	1186557.1	4197.8	rm_hit
main	Modell8A	mirroredY315	29	1187092	2	1191356.2	4264.2	rm_hit
main	Modell3A	originalY45	3	1191891.3	1	1194341.8	2450.5	rm_hit
main	Modell9B	originalY0	1	1194874.2	2	1196543	1668.8	rm_hit
main	Modell4B	originalZ180	16	1197073.8	2	1200394.3	3320.5	rm_hit
main	Modell2B	originalY90	7	1200923.3	2	1203613.9	2690.6	rm_hit
main	Modell13A	mirroredY0	2	1204139.5	2	1206018.5	1879	rm_hit
main	Modell1A	originalY0	1	1206539.1	1	1207394	854.9	rm_hit
main	Modell5B	mirroredY0	2	1207922.3	1	1208932.6	1010.3	rm_hit
main	Modell11B	mirroredZ135	14	1209455.4	1	1213476.8	4021.4	rm_hit
main	Modell3A	mirroredZ135	14	1214004.7	2	1216197.5	2192.8	rm_hit
main	Modell3B	mirroredY180	17	1216721	1	1218928.1	2207.1	rm_hit
main	Modell9B	mirroredY315	29	1219453.9	1	1220619.7	1165.8	rm_hit
main	Modell1A	originalZ90	8	1221153.6	1	1224145.3	2991.7	rm_hit
main	Modell10B	originalY0	1	1224669.8	2	1226366.5	1696.7	rm_hit
main	Modell15B	originalZ135	12	1226902.8	2	1229861.3	2958.5	rm_hit
main	Modell1A	mirroredY90	9	1230385.6	2	1234008.2	3622.6	rm_hit
main	Modell7A	originalZ225	20	1234535	1	1236993.5	2458.5	rm_hit
main	Modell5A	mirroredZ315	30	1237517.9	2	1239877.3	2359.4	rm_hit
main	Modell11A	mirroredY180	17	1240400.8	2	1244014.2	3613.4	rm_hit
main	Modell9A	mirroredY180	17	1244550.2	2	1248711.6	4161.4	rm_hit
main	Modell4B	originalY45	3	1249232.8	2	1250922.9	1690.1	rm_hit
main	Modell16A	originalY135	11	1251449.2	1	1253758.1	2308.9	rm_hit
main	Modell10A	mirroredZ90	10	1254282.1	2	1255906.1	1624	rm_hit
main	Modell5B	originalY315	27	1256431.8	2	1258126.3	1694.5	rm_hit
main	Modell5B	originalZ180	16	1258648.1	2	1261681.8	3033.7	rm_hit
main	Modell4A	originalY180	15	1262214.3	1	1265970.3	3756	rm_hit
main	Modell9A	originalY135	11	1266497	1	1269618.1	3121.1	rm_hit
main	Modell4A	mirroredZ135	14	1270146.4	2	1272134.7	1988.3	rm_hit
main	Modell7B	originalY180	15	1272662.7	2	1276577	3914.3	rm_hit
main	Modell3A	mirroredZ180	18	1277112.1	2	1280438.6	3326.5	rm_hit
main	Modell4A	mirroredZ225	22	1280961.5	2	1283118.2	2156.7	rm_hit
main	Modell12B	originalY90	7	1283644.4	2	1285984.1	2339.7	rm_hit
main	Modell6B	originalY225	19	1286510.7	2	1289792.5	3281.8	rm_hit
main	Modell15B	mirroredZ315	30	1290326.8	1	1292900.1	2573.3	rm_hit
main	Modell14A	originalY90	7	1293426.3	1	1296333.9	2907.6	rm_hit
main	Modell9A	mirroredY90	9	1296859.2	2	1299308.5	2449.3	rm_hit
main	Modell3B	originalZ270	24	1299842.1	2	1302905.2	3063.1	rm_hit
main	Modell4A	mirroredY225	21	1303441.5	2	1305829.6	2388.1	rm_hit
main	Modell13A	originalZ45	4	1306357.8	1	1308040.7	1682.9	rm_hit
main	Modell14B	originalZ315	28	1308574.1	2	1310302.4	1728.3	rm_hit
main	Modell9B	mirroredY135	13	1310823.8	1	1316578.9	5755.1	rm_hit
main	Modell2B	originalY315	27	1317106.2	2	1319523.8	2417.6	rm_hit
main	Modell1A	originalZ135	12	1320055.8	1	1322937	2881.2	rm_hit
main	Modell9B	originalY90	7	1323471.9	2	1325015.6	1543.7	rm_hit
main	Modell13B	mirroredZ315	30	1325538.3	1	1326829.2	1290.9	rm_hit
main	Modell12A	originalY45	3	1327354.7	1	1328826.1	1471.4	rm_hit
main	Modell9A	mirroredY45	5	1329354.4	2	1330537.8	1183.4	rm_hit
main	Modell10A	originalY225	19	1331070.8	1	1333797.9	2727.1	rm_hit
